Mod1,Mod2,Mod3,c_total,Cd,Pb
-0.994673016,-0.662192499,0.3277973839834456,14,2.8,11.2
-0.982195502,-0.662464528,0.9769498861723481,14,0,14
2.0632281950101623,2.5528204689809546,1.681019042385907,200,200,0
-0.839376114,-0.5862059,-1.471322404,5000,3000,2000
-0.846858389,-0.543134737,-1.404643642,5000,4000,1000
1.1585290174932483,0.7065637268724044,0.4584838955534007,500,500,0
-0.276120576,-0.453909422,-1.142868358,2000,1600,400
2.0060475240605937,2.3298478581639555,1.3098931633707613,200,160,40
-0.715458202,-0.648863108,-0.258570242,14,14,0
-0.68272457,-0.563264838,-0.500103759,100,0,100
-0.898186587,-0.651946096,1.4808057619789936,20,20,0
0.2616084431871312,-0.451551843,-1.38678326,2000,800,1200
-0.780152898,-0.168279603,-1.419302028,5000,1000,4000
1.1617780395146289,0.3421363487213184,-0.680767161,500,400,100
-0.441566704,-0.374749158,2.09909681,50,30,20
1.331139926837588,-0.395786021,-1.326411948,500,100,400
-0.848276529,-0.622929734,-1.386236185,5000,4000,1000
-0.879020532,-0.661920471,1.491698986348959,14,8.4,5.6
0.019995503,-0.491902722,1.5783298873945928,35,35,0
1.8930725726656927,2.743421700350346,0.7481278126638121,100,80,20
-0.907478578,-0.656298551,0.5621223861988182,20,8,12
-0.980745612,-0.662192499,-0.092114693,14,5.6,8.4
1.658433917173765,2.727825405490434,1.4731467150069055,70,56,14
-0.979983627,-0.661829795,0.9158866860482433,20,4,16
0.757597583,-0.395786021,-1.272251544,1000,400,600
1.4645826586538222,-0.259862498,-1.114983635,500,200,300
-0.788132581,-0.636168449,-0.113289706,14,14,0
-0.771220733,0.15470878200365348,-0.104681323,50,10,40
-0.892990269,-0.642878483,0.3611045840511391,70,0,70
-0.509425757,-0.555466691,-1.415263329,500,0,500
2.0441891376275465,2.9123513359550914,1.2594496502247616,70,70,0
-0.302969986,-0.426797258,-1.181485402,2000,1600,400
-0.962193379,-0.66146709,0.5518084174822039,20,0,20
-0.739418417,-0.635805745,1.035808696726756,35,21,14
-0.975104802,-0.664822107,0.030703596,14,5.6,8.4
1.6016342390345208,2.4176223548174143,0.6484797498525917,100,60,40
-0.642688575,-0.465425291,-0.08421429,70,14,56
0.5472578027280919,0.3957259432690396,0.6966062403851866,1000,1000,0
-0.740921222,0.055690444869792785,-0.592253679,200,0,200
-0.845768326,-0.263489543,0.544776897,5000,5000,0
-0.733259033,-0.623745819,0.4423290989988285,50,10,40
-0.304261128,-0.204912761,-0.04905669,100,20,80
1.8770179589639544,2.4880777100857383,0.043559853,70,70,0
-0.886608639,-0.663280613,0.4376628729023883,14,8.4,5.6
0.5891881781310516,-0.290511031,-0.776344343,1000,800,200
0.033679494,-0.585933872,0.6272564663311967,35,35,0
1.242823676777593,-0.300666757,-1.099456365,500,300,200
-0.989709527,-0.659562891,0.5507303583495781,20,12,8
0.7439135916573695,-0.432056474,-1.365189896,1000,200,800
-0.848223613,-0.563083486,-0.614217122,100,0,100
0.25795726208818603,-0.45137049,-1.378931127,2000,800,1200
-0.552890686,-0.659018835,-1.395826084,500,0,500
1.9715570915925864,2.831649577668337,0.20222763068475938,100,100,0
0.5504750753486118,-0.138537832,0.2831142465013272,50,40,10
-0.846360982,-0.658474778,1.2576636119602622,35,14,21
0.6132013083151293,0.4143145505148651,0.6488659202881593,50,40,10
1.4223136229750182,-0.202645858,-1.093309819,500,200,300
-0.540550753,-0.494713682,-1.39307462,1000,0,1000
-0.894006249,-0.266753884,-1.406526223,5000,0,5000
-0.746382118,-0.447471417,-1.438160018,5000,2000,3000
2.0822355029919177,2.542392713696711,1.6434961483966017,200,200,0
-0.615172428,-0.551658293,0.7908479170984625,70,14,56
0.7311609156451114,0.7088306301950661,-0.405958624,200,40,160
0.6184822919915748,-0.271015662,-0.929139112,1000,800,200
-0.011965561,-0.465153263,1.2200763562316959,35,35,0
-0.451980507,-0.050309954,-0.177715807,100,20,80
-0.903255908,-0.64741229,0.4006870536968039,50,0,50
2.1188002296494712,2.597614478636749,1.6684685032299644,200,200,0
0.6184822919915748,-0.313724121,-0.907980191,1000,800,200
0.5492897643831571,0.5048093311555181,0.8825473051109193,70,42,28
1.7242504251573607,2.4028421451536603,1.2495218519437148,70,56,14
0.7352142558216216,-0.49498571,-1.353685235,1000,600,400
-0.690810084,-0.407392566,0.22924347073966636,50,20,30
-0.969633322,-0.662101823,1.3779557026395264,20,4,16
0.853195029,0.8030431322848841,-0.18634028,100,40,60
-0.837227737,-0.612592655,-0.458542165,100,0,100
-0.845535497,-0.268930111,0.8138733293191723,5000,5000,0
-0.9796238,-0.662555204,0.7310236804551367,14,0,14
-0.867315586,-0.649407165,0.7251989430519941,35,14,21
1.7125454793734958,2.5426647420954307,0.6296700315534933,100,60,40
1.9258273712199996,1.6173148057849471,0.068306942,200,120,80
-0.792746827,-0.243178089,-1.426719719,5000,1000,4000
0.023085778,-0.555920072,1.193478867481987,35,35,0
1.097739497979215,-0.361691795,-1.119762494,500,300,200
0.41485221800663075,-0.383091362,-1.425126766,2000,400,1600
1.824398618604662,1.0908491781300065,-0.194932572,200,80,120
-0.965114324,-0.661285738,-1.191863732,20,4,16
-0.840212181,-0.662827232,0.8342599102301713,14,11.2,2.8
-1.001488554,-0.655573142,0.11381069137462606,20,12,8
-0.981740427,-0.66146709,1.0611189506912397,20,4,16
-0.953695123,-0.660378977,0.769447639,20,16,4
-0.052752958,-0.303296365,0.648544112,70,28,42
1.6517771261267025,2.414448690165688,0.4566174051148245,100,60,40
0.21466166244822937,-0.48374187,-1.387394696,1000,0,1000
-0.942392336,-0.660197624,0.8001160075520816,35,7,28
-0.629247996,-0.601711519,0.8650891833363069,70,14,56
0.5565921265810476,0.5677385673926053,-0.387567257,200,40,160
0.6477764058520978,-0.32968312,-0.906934312,1000,800,200
-0.80707639,-0.225949624,0.9058784355931201,50,20,30
-0.963526854,-0.661829795,1.6133104926830788,20,16,4
0.5192548311692249,0.3892879378326805,0.6662596803235102,1000,1000,0
1.8004913197567858,1.627742561069191,-0.126242506,200,120,80
-0.70602863,-0.578770457,1.4325666384026916,50,20,30
1.836981964478998,1.0932067575855746,-0.060786617,200,80,120
-0.961727721,-0.661557766,0.7866161327420358,20,0,20
-0.846879555,-0.591465116,-1.471193681,5000,3000,2000
1.431647946827974,-0.423260889,-1.300007545,500,100,400
0.7969774236287072,-0.428429429,-1.380974613,1000,200,800
-0.629089249,-0.360150301,-1.419575566,2000,0,2000
-0.980047126,-0.663189937,-0.342272683,0,0,0
-0.97114671,-0.663371289,-0.171038276,0,0,0
-0.706621285,-0.338478705,0.8441555276415875,50,20,30
-0.970501139,-0.649225812,0.3731241388581764,35,0,35
-0.016918467,-0.326056075,0.4963768695434578,70,28,42
-0.849144346,-0.590014298,-1.46784687,5000,3000,2000
1.8332249520438515,1.677070377370308,-0.098003793,200,120,80
1.0492369965981538,0.6339321444143253,0.5029900382525507,500,500,0
1.2801186396549356,1.4432166306045326,0.68104679,50,50,0
0.65214724,0.4873995136374766,0.62701511,50,40,10
0.38779114533995523,-0.405579043,-1.425255489,2000,400,1600
-0.146138529,-0.537966197,-1.395520366,2000,1200,800
-0.645059197,-0.595545542,0.6275943654623182,70,14,56
-0.992916216,-0.660106948,0.3670902258024348,20,12,8
1.844167912207067,1.067001355175606,-0.126644767,200,80,120
-0.385137435,-0.625468666,1.131160613442288,35,28,7
-0.9752318,-0.661829795,0.047003206021455156,14,2.8,11.2
-0.473866428,-0.182878461,0.003076319,100,20,80
-0.464828432,-0.084948237,0.3061879300264831,2000,2000,0
-0.754478216,-0.013676797,-0.623613936,200,0,200
-0.886989632,-0.661104386,1.0978212325049637,14,11.2,2.8
-0.848276529,-0.52055638,-1.409261597,5000,4000,1000
-0.981909757,-0.661829795,0.6679169951094873,20,0,20
-0.902843166,-0.173629495,-1.408199628,5000,0,5000
-0.995392669,-0.663099261,0.6124854471707413,14,0,14
0.7163339454433076,0.8516455395227498,-0.172872586,100,40,60
-0.948361224,-0.661920471,0.24422366555272076,20,8,12
0.644326304,0.8317874664162338,-0.551448336,200,40,160
1.1995704096721174,0.295347464,-0.294596725,500,400,100
0.6287690978703423,0.6993096362398872,-0.499234875,200,40,160
-0.25313401,-0.633538841,1.8358090253091974,35,28,7
-0.74277327,0.019964048504645285,-0.666012232,200,0,200
1.9372994880642211,3.176672263,0.9569172948272862,100,80,20
-0.392545629,-0.106982538,0.3230185248432983,2000,2000,0
0.8500412556000448,-0.428429429,-1.380717166,1000,200,800
-0.938264914,-0.612592655,-0.015057601,50,0,50
0.7223874978740227,-0.381368516,-1.270465506,1000,400,600
-0.389762265,-0.635352364,0.6231373150184771,35,28,7
-0.894725902,-0.651946096,1.220333803188741,20,20,0
-0.559314649,-0.558096299,-1.394410126,500,0,500
-0.955663586,-0.662192499,1.302266297268304,20,16,4
0.7629843984408459,0.8174606374170121,-0.108446485,100,40,60
-0.997107137,-0.664096698,0.496956125,14,2.8,11.2
0.7969774236287072,-0.436499605,-1.384675413,1000,200,800
-0.54844577,-0.488003648,-1.393283795,1000,0,1000
-0.493582806,-0.267025912,1.0577399593800243,50,30,20
-0.974427482,-0.660741681,0.9806989574843157,20,16,4
-0.184671718,-0.545310964,-1.413235934,2000,1200,800
-0.96672296,-0.646324176,0.7847496423034597,35,0,35
-0.916050917,-0.654485028,-0.393086277,70,0,70
0.7438818422565091,-0.382637982,-1.252235044,1000,400,600
-0.882163723,-0.64904446,1.0548597715480836,20,20,0
1.8867967744289555,1.0796960137825111,-0.177538812,200,80,120
1.230515492377381,-0.263398867,-1.091266334,500,300,200
-0.973475,-0.664187374,0.6888184699345762,14,0,14
0.6036659049233911,0.6403701498506844,0.8352092458842746,70,42,28
-0.929957154,-0.659018835,1.0377556393394083,35,7,28
1.8232979727081684,2.4476361548094543,0.8281294545655379,100,100,0
-0.412865246,-0.1059851,0.4794980034221967,2000,2000,0
0.40131639010648296,-0.374658482,-1.431176769,2000,400,1600
-0.767548386,-0.26684456,-1.41638966,5000,1000,4000
-0.960066169,-0.640248875,0.4839389634312225,35,0,35
1.2504541161177078,-0.188047,-1.036961116,500,200,300
-0.561219613,-0.46896166,1.8771614427845467,50,30,20
-0.913161721,-0.657205312,0.5520175931348029,20,8,12
-0.603869641,-0.350447954,-1.424965861,2000,0,2000
-0.837344152,-0.661648443,-0.50164844,14,14,0
1.180668933026563,0.3008787082488764,-0.738258284,500,400,100
1.9928926889707703,2.9959547304948533,1.1376933299773042,70,70,0
1.1748376264018707,1.4200035405804774,0.6635886681441687,50,50,0
-0.615151262,-0.406757833,1.6893217067506074,50,30,20
-0.289550573,-0.434776758,-1.20105137,2000,1600,400
-0.394217764,-0.088575283,0.2705315264757542,2000,2000,0
1.2032321739046827,1.457090078939222,0.5171174400203936,50,50,0
-0.708970741,-0.643875921,-0.202108906,14,14,0
-0.912367986,-0.662283175,0.307426894,14,11.2,2.8
-0.777909274,-0.632904108,1.0652863733084053,35,21,14
0.25272919407984124,-0.437859747,-1.393605604,2000,800,1200
2.007349249,2.914255534746128,0.9567563904791331,100,100,0
-0.79998569,-0.66101371,1.0253338236619882,14,8.4,5.6
1.1740121419795004,-0.288969536,-1.122546139,500,300,200
-0.736730301,-0.607333439,0.7228175586993281,50,10,40
-0.193381637,-0.545129612,-1.40937423,2000,1200,800
-0.710886288,0.051247314357375985,-0.68112115,200,0,200
0.46341821818941265,0.5371807106031263,0.5381154574543744,1000,1000,0
-0.872670652,-0.19484771,-1.416470112,5000,0,5000
-0.289434158,-0.642697131,1.194621288353874,35,28,7
-0.889497834,-0.655210437,1.4595181167183373,35,14,21
1.6232449978868289,3.072938767332442,1.0812802655148241,70,56,14
-0.939005733,-0.660106948,0.4985973495479707,35,7,28
-0.598228831,-0.39088951,-1.420798439,2000,0,2000
1.1244089947019456,0.8442100966244196,1.029259889756924,500,500,0
-0.756605426,-0.442030849,-1.438111747,5000,2000,3000
0.5414053298361594,-0.46896166,-1.308841193,1000,600,400
-0.838381299,-0.289422917,0.7513619900616896,5000,5000,0
-0.734687756,-0.445204513,-1.435408554,5000,2000,3000
1.180668933026563,0.18327176386919017,-0.948978619,500,400,100
-0.762838891,-0.617761194,0.9439644948009609,35,21,14
-0.966257303,-0.648319051,0.3102427195999414,35,0,35
1.2827961724608288,1.5841273411411805,0.8458932946016411,50,50,0
-0.997477547,-0.663733994,0.090624375,14,2.8,11.2
-0.825311129,-0.649588517,1.0936055385833523,35,14,21
0.40131639010648296,-0.378648232,-1.421844317,2000,400,1600
1.282880838,-0.426343878,-1.305172574,500,100,400
-0.849694669,-0.542862708,-1.41087064,5000,4000,1000
0.7542109806697571,-0.376381328,-1.291093444,1000,400,600
0.708290764,-0.483832546,-1.304625499,1000,600,400
1.7634609352199468,2.301556904697138,0.9357422826103371,100,80,20
-0.992111898,-0.660741681,1.0148267697275901,20,12,8
-0.528888139,-0.549754095,-1.405094174,500,0,500
-0.74084714,-0.448196826,-1.440766668,5000,2000,3000
-0.983740639,-0.663189937,0.2724945595232221,0,0,0
-0.921321317,-0.659109511,0.9245272495440653,35,7,28
1.9789864513939184,2.161734307755368,1.2226347353673301,200,160,40
1.941680905382956,3.0937942779009298,0.916900383,100,80,20
2.089580197724289,2.449086972935958,1.1439685995552753,200,160,40
0.7496708163467208,1.1196841883942628,0.6496543515941094,70,42,28
-0.160743253,-0.442756258,0.3416029770549824,70,28,42
-0.429554847,-0.055750522,-0.244121031,100,20,80
0.7717683993455547,-0.037071239,0.7334372456774333,50,40,10
-0.605637024,-0.423804946,-1.424096978,2000,0,2000
-0.776258305,-0.428792133,0.5581641392342517,50,10,40
-0.185909945,-0.536696731,-1.416309207,2000,1200,800
0.2744034517338698,-0.469505717,-1.389212915,2000,800,1200
0.7209376085680647,0.978592126,-0.319906979,100,40,60
-0.840667256,-0.285342491,0.8963207173128254,5000,5000,0
-0.968998334,-0.663189937,0.8283225397833216,14,5.6,8.4
0.6448977935074222,-0.482291052,-1.291157805,1000,600,400
-0.910886347,-0.645417415,-0.027157608,50,0,50
1.5364844684689931,2.506122260534125,1.3143984851190484,70,56,14
-0.905838193,-0.66146709,0.9694839244180441,14,11.2,2.8
-0.913817875,-0.613136711,0.014371804,70,0,70
-0.537015986,-0.451733195,-1.39235055,1000,0,1000
-0.204187017,-0.462886359,0.4322886676740745,70,28,42
